>SBS000001 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000497 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=MRCU01000005.1:3012599.0-3192885.0] [family=Galactica]
>SBS000498 [organism=Podospora anserina] [lineage=Fungi; Sordariales; Chaetomiaceae; Podospora] [location=None:nan-nan] [family=None]
>SBS000499 [organism=Aspergillus ochraceus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SSOS01000009.1:1312291.0-1592260.0] [family=Galactica]
>SBS000500 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000501 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAFYL010000007.1:530860.0-609493.0] [family=Prometheus]
>SBS000502 [organism=Aspergillus udagawae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BBXM02000003.1:1721435.0-1834640.0] [family=Enterprise]
>SBS000503 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML735007.1:74575.0-114420.0] [family=Enterprise]
>SBS000504 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP047254.1:3114418.0-3226701.0] [family=Enterprise]
>SBS000505 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051092.1:387060.0-435481.0] [family=Enterprise]
>SBS000506 [organism=Paecilomyces variotii] [lineage=Fungi; Eurotiales; Thermoascaceae; Paecilomyces] [location=scaffold123:325911.0-403496.0] [family=Hephaestus]
>SBS000507 [organism=Morchella importuna] [lineage=Fungi; Pezizales; Morchellaceae; Morchella] [location=scaffold28:134961.0-172466.0] [assembly=GCA_004786055.1] [family=Phoenix]
>SBS000508 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAKEP010000044.1:18060.0-35736.0] [family=Enterprise]
>SBS000509 [organism=Metarhizium robertsii] [lineage=Fungi; Hypocreales; Clavicipitaceae; Metarhizium] [location=JELW01000029.1:136765.0-245291.0] [assembly=GCA_000591435.1] [family=Arwing]
>SBS000510 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LKBF01000013.1:3354305.0-3405825.0] [family=Prometheus]
>SBS000511 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MKZY01000002.1:282872.0-338438.0] [family=Prometheus]
>SBS000512 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP082260.1:626481.0-693712.0] [family=Prometheus]
>SBS000513 [organism=Fusarium redolens] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAFFJM010000001.1:267803.0-353322.0] [family=Enterprise]
>SBS000514 [organism=Fusarium vorosii] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDUL010000044.1:102397.0-148244.0] [family=Arwing]
>SBS000515 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJHJC010000024.1:41431.0-66408.0] [family=Enterprise]
>SBS000516 [organism=Aspergillus udagawae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BBXM02000003.1:450189.0-473656.0] [family=Tardis]
>SBS000517 [organism=Bipolaris sorokiniana] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=KB445641.1:1441616.0-1628583.0] [assembly=GCF_000338995.1] [family=Prometheus]
>SBS000518 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJHJC010000023.1:89311.0-165905.0] [family=Prometheus]
>SBS000519 [organism=Blastomyces dermatitidis] [lineage=Fungi; Onygenales; Ajellomycetaceae; Blastomyces] [location=Supercontig2:236104.0-318519.0] [family=Tardis]
>SBS000520 [organism=Aspergillus ochraceus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VBTP01000154.1:93912.0-209304.0] [family=Enterprise]
>SBS000521 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000522 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069121.1:833727.0-943083.0] [family=Prometheus]
>SBS000523 [organism=Aspergillus welwitschiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=PUWS01000002.1:1297750.0-1391712.0] [family=Prometheus]
>SBS000524 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VZUP01000002.1:4554686.0-4596455.0] [family=Voyager]
>SBS000525 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP044618.1:3397137.0-3444813.0] [family=Enterprise]
>SBS000526 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYB01000014.1:375361.0-432332.0] [family=Phoenix]
>SBS000527 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027698.1:388637.0-425493.0] [assembly=GCF_000149645.3] [family=Hephaestus]
>SBS000528 [organism=Alternaria alstroemeriae] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JAILXE010000025.1:1517978.0-1552582.0] [family=Voyager]
>SBS000529 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030947.1:5913358.0-5970582.0] [family=Prometheus]
>SBS000530 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig1:1041133.0-1106345.0] [family=Prometheus]
>SBS000531 [organism=Colletotrichum aenigma] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPNB01000008.1:963460.0-1153602.0] [assembly=GCF_013390185.1] [family=Prometheus]
>SBS000532 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig8:523485.0-573411.0] [family=Tardis]
>SBS000533 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM034652.1:2185791.0-2229980.0] [family=Voyager]
>SBS000534 [organism=Talaromyces cellulolyticus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=DF933834.1:761163.0-778052.0] [assembly=GCA_000829775.1] [family=Prometheus]
>SBS000535 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAIWPN010000089.1:6204.0-22496.0] [family=Phoenix]
>SBS000536 [organism=Fusarium verticillioides] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=Scaffold8:1387443.0-1471631.0] [family=Galactica]
>SBS000537 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr601:525097.0-697508.0] [family=Phoenix]
>SBS000538 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBL01000007.1:90107.0-138297.0] [family=Enterprise]
>SBS000539 [organism=Paecilomyces variotii] [lineage=Fungi; Eurotiales; Thermoascaceae; Paecilomyces] [location=None:nan-nan] [family=Prometheus]
>SBS000540 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZP010000159.1:52663.0-134354.0] [family=Prometheus]
>SBS000541 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr601:525097.0-697508.0] [family=Hephaestus]
>SBS000542 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAIBTQ010000011.1:353461.0-382281.0] [family=Tardis]
>SBS000543 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BCGT01000003.1:3837710.0-3930878.0] [family=Enterprise]
>SBS000544 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr502:536277.0-834955.0] [family=Galactica]
>SBS000545 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000546 [organism=Fusarium hostae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=NJCQ01000969.1:123711.0-151310.0] [family=Galactica]
>SBS000547 [organism=Fusarium temperatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JACOPZ010000006.1:644682.0-676501.0] [family=Phoenix]
>SBS000548 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=GG692421.1:907263.0-1044004.0] [family=Prometheus]
>SBS000549 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000550 [organism=Aspergillus tubingensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=FUKH01000028.1:61603.0-141754.0] [family=Enterprise]
>SBS000551 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=None:nan-nan] [family=None]
>SBS000552 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold7:939577.0-1097329.0] [assembly=GCA_020744355.1] [family=Phoenix]
>SBS000553 [organism=Fusarium nygamai] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=LBNR01000018.1:150866.0-208829.0] [family=Phoenix]
>SBS000554 [organism=Colletotrichum aenigma] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPNB01000004.1:1233307.0-1326502.0] [assembly=GCF_013390185.1] [family=Enterprise]
>SBS000555 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=RIBO01000004.1:2896523.0-2995303.0] [family=Enterprise]
>SBS000556 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr502:1653545.0-1952190.0] [family=Galactica]
>SBS000557 [organism=Podospora comata] [lineage=Fungi; Sordariales; Chaetomiaceae; Podospora] [location=LR026964.1:5216672.0-5232290.0] [assembly=GCA_900290415.1] [family=Arwing]
>SBS000558 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000006.1:864236.0-929630.0] [family=Enterprise]
>SBS000559 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024427.1:4320845.0-4654192.0] [family=Prometheus]
>SBS000560 [organism=Aspergillus ochraceus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VBTP01000053.1:1909859.0-1965926.0] [family=Galactica]
>SBS000562 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Enterprise]
>SBS000563 [organism=Pyrenophora tritici-repentis] [lineage=Fungi; Pleosporales; Pleosporaceae; Pyrenophora] [location=DS231618.1:1763241.0-2130679.0] [assembly=GCF_000149985.1] [family=Serenity]
>SBS000564 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIWS01000080.1:40748.0-153025.0] [assembly=GCA_011066885.1] [family=Phoenix]
>SBS000565 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold13:307583.0-670491.0] [assembly=GCA_003344505.1] [family=Prometheus]
>SBS000566 [organism=Colletotrichum aenigma] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPNB01000005.1:1245896.0-1291069.0] [assembly=GCF_013390185.1] [family=Prometheus]
>SBS000567 [organism=Phaeomoniella chlamydospora] [lineage=Fungi; Phaeomoniellales; Phaeomoniellaceae; Phaeomoniella] [location=None:nan-nan] [family=Phoenix]
>SBS000568 [organism=Aspergillus hiratsukae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACBAD010001953.1:10950.0-38037.0] [family=Phoenix]
>SBS000569 [organism=Fusarium scirpi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=QHHJ01000055.1:1156959.0-1182116.0] [family=Phoenix]
>SBS000571 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087364.1:259798.0-596540.0] [family=Phoenix]
>SBS000572 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPR010000128.1:3350.0-23015.0] [family=Hephaestus]
>SBS000573 [organism=Aspergillus nomius] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold20:328716.0-370938.0] [family=Hephaestus]
>SBS000574 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000575 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000576 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr202:282650.0-398247.0] [family=Prometheus]
>SBS000577 [organism=Colletotrichum asianum] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=WOWK01000007.1:541947.0-622231.0] [assembly=GCA_009806415.1] [family=Arwing]
>SBS000578 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Phoenix]
>SBS000579 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=LT598660.1:6250585.0-6277532.0] [family=Arwing]
>SBS000580 [organism=Colletotrichum scovillei] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=JAAJBS010000010.1:1135014.0-1227967.0] [assembly=GCF_011075155.1] [family=Enterprise]
>SBS000581 [organism=Fusarium xylarioides] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JADFTT010000007.1:128231.0-145205.0] [family=Arwing]
>SBS000582 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VEOJ01000002.1:3497977.0-3617986.0] [family=Voyager]
>SBS000583 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold1:704455.0-870303.0] [assembly=GCA_020744455.1] [family=Galactica]
>SBS000584 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051096.1:374723.0-434651.0] [family=Prometheus]
>SBS000585 [organism=Aspergillus welwitschiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000586 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig12:522356.0-540769.0] [family=Enterprise]
>SBS000587 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QLYQ01000012.1:703083.0-759759.0] [assembly=GCA_012932255.1] [family=Galactica]
>SBS000588 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BLKD01000031.1:221087.0-275557.0] [family=Hephaestus]
>SBS000589 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKE010000005.1:725120.0-784672.0] [family=Prometheus]
>SBS000590 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BA000052.1:4536687.0-4673292.0] [family=Prometheus]
>SBS000591 [organism=Aspergillus puulaauensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024444.1:314546.0-334317.0] [family=Hephaestus]
>SBS000592 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024416.1:2556673.0-2938775.0] [family=Galactica]
>SBS000593 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig2:461985.0-517770.0] [family=Phoenix]
>SBS000594 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAHXQV010000001.1:2707547.0-2745283.0] [family=Phoenix]
>SBS000595 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LKBF01000010.1:285680.0-324145.0] [family=Prometheus]
>SBS000596 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPMV01000034.1:115199.0-189036.0] [assembly=GCA_013201875.1] [family=Prometheus]
>SBS000597 [organism=Aspergillus montevidensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJFZZ010000008.1:526931.0-544395.0] [family=Tardis]
>SBS000598 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024417.1:3164751.0-3189966.0] [family=Tardis]
>SBS000599 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=RSAI01000001.1:588132.0-700427.0] [family=Arwing]
>SBS000600 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQA010000001.1:2723000.0-2836029.0] [family=Arwing]
>SBS000601 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VTFN01000002.1:1976053.0-2149157.0] [family=Phoenix]
>SBS000602 [organism=Morchella importuna] [lineage=Fungi; Pezizales; Morchellaceae; Morchella] [location=scaffold37:207474.0-262564.0] [assembly=GCA_004786055.1] [family=Phoenix]
>SBS000603 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=Chromosome2:5435411.0-5554896.0] [family=Prometheus]
>SBS000604 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000605 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZQ010000291.1:64795.0-140724.0] [family=Prometheus]
>SBS000606 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CP061882.1:1735578.0-1823059.0] [family=Voyager]
>SBS000607 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM028824.1:2051479.0-2144131.0] [family=Arwing]
>SBS000608 [organism=Fusarium circinatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM038543.1:777336.0-852822.0] [family=Arwing]
>SBS000609 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000610 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=LT598661.1:7398651.0-7470648.0] [family=Prometheus]
>SBS000611 [organism=Aspergillus udagawae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold127:64079.0-174938.0] [family=Enterprise]
>SBS000612 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BCIE01000010.1:347306.0-363403.0] [family=Galactica]
>SBS000613 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP059872.1:626487.0-693718.0] [family=Prometheus]
>SBS000614 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BLKI01000012.1:288128.0-342586.0] [family=Hephaestus]
>SBS000615 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBM01000018.1:736227.0-788101.0] [family=Prometheus]
>SBS000616 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000005.1:2643145.0-2894455.0] [family=Prometheus]
>SBS000617 [organism=Fusarium proliferatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=Enterprise]
>SBS000618 [organism=Fusarium cf.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WETD01000030.1:294970.0-333675.0] [family=Phoenix]
>SBS000619 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=supercont179:63621.0-100183.0] [family=Phoenix]
>SBS000620 [organism=Fonsecaea pedrosoi] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Fonsecaea] [location=scaffold4:1802747.0-1888810.0] [family=Enterprise]
>SBS000621 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JAHLEY010000013.1:1916146.0-2001433.0] [family=Voyager]
>SBS000622 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MKZY01000005.1:377681.0-602749.0] [family=Phoenix]
>SBS000623 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BA000056.1:2521805.0-2775566.0] [family=Galactica]
>SBS000624 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000001.1:1685043.0-1704370.0] [family=Prometheus]
>SBS000625 [organism=Aspergillus thermomutatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000626 [organism=Fusarium euwallaceae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=NHTE02000041.1:227005.0-260627.0] [family=Enterprise]
>SBS000627 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIQX01000027.1:184675.0-249971.0] [assembly=GCA_011066605.1] [family=Moya]
>SBS000628 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=BJEP01000002.1:1136464.0-1191888.0] [family=Voyager]
>SBS000629 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087364.1:744472.0-793916.0] [family=Enterprise]
>SBS000630 [organism=Fusarium asiaticum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=LHTY01000081.1:25381.0-53197.0] [family=Arwing]
>SBS000631 [organism=Aspergillus phoenicis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KZ851853.1:568504.0-643630.0] [assembly=GCA_003344505.1] [family=Enterprise]
>SBS000632 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024427.1:4531323.0-4584790.0] [family=None]
>SBS000633 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030954.1:6398581.0-6524396.0] [family=Prometheus]
>SBS000634 [organism=Botrytis deweyae] [lineage=Fungi; Helotiales; Sclerotiniaceae; Botrytis] [location=RCSX01000008.1:1500896.0-1519804.0] [assembly=GCF_014898535.1] [family=None]
>SBS000635 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGJDX010000003.1:1797423.0-1854724.0] [family=Enterprise]
>SBS000636 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig2:599347.0-635402.0] [family=Phoenix]
>SBS000637 [organism=Aspergillus ochraceus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SSOS01000002.1:1484477.0-1646856.0] [family=Galactica]
>SBS000638 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000639 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087362.1:2008685.0-2069360.0] [family=Prometheus]
>SBS000640 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP035525.1:798858.0-934007.0] [family=Prometheus]
>SBS000641 [organism=Fusarium musae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM034124.1:376889.0-472968.0] [family=Prometheus]
>SBS000642 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig5:285631.0-344293.0] [family=Prometheus]
>SBS000643 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024418.1:2374770.0-2401835.0] [family=Prometheus]
>SBS000644 [organism=Tuber melanosporum] [lineage=Fungi; Pezizales; Tuberaceae; Tuber] [location=scaffold54:497862.0-520995.0] [family=Phoenix]
>SBS000645 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LKBF01000025.1:2928039.0-3146524.0] [family=Hephaestus]
>SBS000646 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP082257.1:3245660.0-3293313.0] [family=Enterprise]
>SBS000647 [organism=Aspergillus transmontanensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML738368.1:56757.0-75117.0] [family=Tardis]
>SBS000648 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MKZY01000007.1:302183.0-423847.0] [family=Enterprise]
>SBS000649 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGUQC010000008.1:263044.0-292679.0] [family=Hephaestus]
>SBS000650 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069106.1:527961.0-554257.0] [family=Tardis]
>SBS000651 [organism=Metarhizium majus] [lineage=Fungi; Hypocreales; Clavicipitaceae; Metarhizium] [location=scaffold11:519770.0-558200.0] [family=Phoenix]
